timestamp;open;low;high;close;volume
12/15/2020;805;750;885;800;358600
12/16/2020;800;750;800;780;304600
12/17/2020;770;760;800;795;133100
12/18/2020;800;780;800;795;83900
12/21/2020;780;780;850;795;126800
12/22/2020;795;775;810;790;139800
12/23/2020;790;780;800;800;172400
12/24/2020;790;780;800;800;0
12/25/2020;790;780;800;800;0
12/28/2020;810;800;820;800;39800
12/29/2020;805;795;845;805;88600
12/30/2020;805;795;835;830;106600
12/31/2020;805;795;835;830;0
1/1/2021;805;795;835;830;0
1/4/2021;830;805;850;850;71300
1/5/2021;860;810;860;820;28900
1/6/2021;815;810;820;820;49500
1/7/2021;820;810;840;835;106000
1/8/2021;835;815;850;840;70800
1/11/2021;840;815;850;850;67400
1/12/2021;855;840;855;850;29000
1/13/2021;850;840;850;850;34400
1/14/2021;850;830;850;850;148700
1/15/2021;830;815;860;860;128600
1/18/2021;860;845;860;860;57700
1/19/2021;860;840;870;860;116300
1/20/2021;840;840;900;900;134200
1/21/2021;905;860;905;900;83100
1/22/2021;900;870;900;895;28000
1/25/2021;895;870;900;900;145800
1/26/2021;900;880;900;895;134600
1/27/2021;890;875;895;895;97300
1/28/2021;895;890;900;900;81600
1/29/2021;900;895;915;915;106300
2/1/2021;950;900;1140;1140;155800
2/2/2021;1200;1200;1425;1425;938200
2/3/2021;1475;1330;1780;1400;1607300
2/4/2021;1400;1305;1405;1305;238200
2/5/2021;1305;1215;1305;1215;78800
2/8/2021;1215;1130;1215;1130;72100
2/9/2021;1100;1055;1220;1170;245800
2/10/2021;1155;1120;1240;1160;110400
2/11/2021;1160;1140;1200;1190;48800
2/12/2021;1160;1140;1200;1190;0
2/15/2021;1190;1190;1250;1230;68500
2/16/2021;1235;1200;1250;1235;19300
2/17/2021;1235;1200;1300;1250;76000
2/18/2021;1250;1205;1300;1245;51200
2/19/2021;1205;1170;1250;1250;109900
2/22/2021;1255;1200;1300;1275;86200
2/23/2021;1280;1280;1420;1360;77100
2/24/2021;1360;1345;1485;1480;101300
2/25/2021;1485;1480;1850;1850;408800
2/26/2021;1890;1835;2300;1980;1008900
3/1/2021;1985;1850;2100;1930;250300
3/2/2021;1930;1835;1935;1860;138800
3/3/2021;1860;1860;2320;2320;1267100
3/4/2021;2400;2400;2900;2900;2164800
3/5/2021;3050;3000;3600;3110;2343800
3/8/2021;3110;2900;3260;2900;295000
3/9/2021;2850;2700;2850;2700;44000
3/10/2021;2700;2520;2700;2520;11000
3/11/2021;2700;2520;2700;2520;0
3/12/2021;2510;2350;2510;2350;19200
3/15/2021;2190;2190;2190;2190;32500
3/16/2021;2170;2040;2190;2040;52500
3/17/2021;1900;1900;1900;1900;54000
3/18/2021;1875;1770;1900;1770;159500
3/19/2021;1755;1650;1770;1650;433000
3/22/2021;1650;1535;1710;1640;234600
3/23/2021;1650;1600;1650;1635;23500
3/24/2021;1635;1525;1635;1535;241400
3/25/2021;1535;1430;1535;1500;151800
3/26/2021;1450;1400;1500;1460;88200
3/29/2021;1460;1450;1600;1540;102200
3/30/2021;1490;1490;1600;1585;51800
3/31/2021;1585;1575;1630;1620;80500
4/1/2021;1680;1650;1700;1700;60400
4/2/2021;1680;1650;1700;1700;0
4/5/2021;1700;1700;2120;2120;495600
4/6/2021;2150;2150;2620;2550;850000
4/7/2021;2600;2550;3050;2820;698200
4/8/2021;2850;2630;3040;2630;602600
4/9/2021;2600;2450;2600;2450;144900
4/12/2021;2450;2280;2450;2280;19300
4/13/2021;2260;2130;2260;2130;174200
4/14/2021;2130;1985;2300;2190;174000
4/15/2021;2190;2150;2730;2730;554700
4/16/2021;2880;2540;3160;2690;506900
4/19/2021;2690;2620;2980;2720;234800
4/20/2021;2780;2690;2890;2740;123700
4/21/2021;2780;2740;2840;2760;85200
4/22/2021;2800;2650;2810;2660;70900
4/23/2021;2720;2590;2800;2590;105500
4/26/2021;2650;2450;2650;2600;102800
4/27/2021;2550;2500;2620;2610;52500
4/28/2021;2610;2480;2620;2550;104500
4/29/2021;2550;2450;2550;2540;40500
4/30/2021;2530;2470;2530;2530;4400
5/3/2021;2500;2470;2650;2540;24000
5/4/2021;2550;2550;2670;2600;47800
5/5/2021;2600;2530;2600;2600;20500
5/6/2021;2600;2590;2770;2700;37200
5/7/2021;2700;2600;2700;2600;50900
5/10/2021;2690;2530;2790;2680;132400
5/11/2021;2670;2560;2700;2700;56300
5/12/2021;2670;2560;2700;2700;0
5/13/2021;2670;2560;2700;2700;0
5/14/2021;2670;2560;2700;2700;0
5/17/2021;2700;2700;2800;2770;66400
5/18/2021;2770;2740;2780;2770;18900
5/19/2021;2750;2750;2920;2900;103800
5/20/2021;2900;2800;2900;2870;53100
5/21/2021;2870;2850;3560;3190;212600
5/24/2021;3300;2970;3690;3120;310200
5/25/2021;3210;3020;3230;3120;51700
5/26/2021;3210;3020;3230;3120;0
5/27/2021;3120;3020;3300;3270;73500
5/28/2021;3280;3060;3280;3170;52000
5/31/2021;3160;3080;3160;3130;103200
6/1/2021;3160;3080;3160;3130;0
6/2/2021;3130;3050;3130;3130;25800
6/3/2021;3130;3060;3130;3130;49000
6/4/2021;3130;2920;3130;2960;105600
6/7/2021;3000;2930;3000;3000;49300
6/8/2021;2930;2900;3000;2970;62200
6/9/2021;2970;2890;3000;2980;53700
6/10/2021;2970;2900;3060;2980;57000
6/11/2021;2900;2890;3160;2910;51300
6/14/2021;2910;2850;2940;2940;34600
6/15/2021;2940;2850;2940;2920;5800
6/16/2021;2910;2840;2930;2910;32300
6/17/2021;2910;2890;3000;2990;3700
6/18/2021;2990;2900;2990;2960;3200
6/21/2021;2970;2810;2970;2960;30200
6/22/2021;3060;2960;3060;2960;26100
6/23/2021;2900;2900;3020;3020;10600
6/24/2021;2950;2950;3010;3010;4700
6/25/2021;3010;2950;3010;3010;7700
6/28/2021;3010;3000;3080;3080;11100
6/29/2021;3090;2870;3090;3020;65700
6/30/2021;3050;2950;3050;3030;12400
7/1/2021;3030;3000;3080;3030;23900
7/2/2021;3030;2970;3030;3000;16700
7/5/2021;3000;2970;3070;3070;2800
7/6/2021;3070;3000;3250;3140;92400
7/7/2021;3140;3080;3220;3220;119500
7/8/2021;3240;3150;3350;3350;64700
7/9/2021;3350;3290;3480;3420;50600
7/12/2021;3420;3420;3600;3600;65800
7/13/2021;3600;3400;3700;3550;69500
7/14/2021;3450;3450;3650;3640;23400
7/15/2021;3640;3560;3650;3650;11100
7/16/2021;3620;3620;3710;3710;34900
7/19/2021;3720;3710;3750;3730;37100
7/20/2021;3720;3710;3750;3730;0
7/21/2021;3770;3750;3970;3950;63800
7/22/2021;3970;3970;4800;4470;208500
7/23/2021;4600;4160;4600;4170;118800
7/26/2021;4100;4070;4310;4230;33800
7/27/2021;4300;3940;4400;4170;35000
7/28/2021;4170;4030;4350;4290;24600
7/29/2021;4450;4280;4450;4290;34900
7/30/2021;4290;4200;4450;4390;30300
8/2/2021;4390;4260;4420;4410;25100
8/3/2021;4420;4420;5500;5500;450600
8/4/2021;5800;5750;6600;6600;770700
8/5/2021;7150;7000;7900;7900;1512800
8/6/2021;8700;7350;8700;7350;532600
8/9/2021;7125;6850;7125;6850;232800
8/10/2021;6850;6375;6850;6375;27200
8/11/2021;6850;6375;6850;6375;0
8/12/2021;5950;5950;5950;5950;50400
8/13/2021;5550;5550;5750;5550;115400
8/16/2021;5200;5175;6600;6050;659500
8/17/2021;5200;5175;6600;6050;0
8/18/2021;6075;5650;6675;5925;284600
8/19/2021;5800;5525;6125;5950;85600
8/20/2021;5950;5575;5975;5725;76200
8/23/2021;5725;5500;5950;5700;86800
8/24/2021;5625;5600;5850;5775;44200
8/25/2021;5800;5700;5850;5725;27300
8/26/2021;5650;5500;5700;5700;20600
8/27/2021;5700;5550;5800;5700;40800
8/30/2021;5700;5400;5700;5600;62000
8/31/2021;5600;5400;5600;5600;50800
9/1/2021;5600;5600;5675;5650;17100
9/2/2021;5400;5400;5650;5425;26000
9/3/2021;5425;5200;5600;5325;71900
9/6/2021;5325;5100;5400;5100;33300
9/7/2021;5150;5000;5400;5350;23600
9/8/2021;5350;5025;5400;5350;14900
9/9/2021;5375;5075;5375;5375;17200
9/10/2021;5100;5100;5325;5200;17500
9/13/2021;5200;5200;5400;5400;22700
9/14/2021;5400;5300;5425;5400;24800
9/15/2021;5400;5350;5600;5550;32300
9/16/2021;5550;5550;6100;5975;138500
9/17/2021;5975;5675;6100;6100;51200
9/20/2021;6100;6100;6500;6375;66900
9/21/2021;6375;6275;6500;6275;143100
9/22/2021;6250;5850;6275;5950;117700
9/23/2021;5850;5625;6000;5925;34600
9/24/2021;5925;5925;6100;5925;38900
9/27/2021;5900;5900;6075;5950;31800
9/28/2021;6000;5850;6000;5850;51100
